Fecha;Asalariados
2024-12-31;18439800
2023-12-31;17963000
2022-12-31;17369400
2021-12-31;16660700
2020-12-31;16109100
2019-12-31;16670500
2018-12-31;16234200
2017-12-31;15715100
2016-12-31;15228200
2015-12-31;14773500
2014-12-31;14285800
2013-12-31;14069100
2012-12-31;14573400
2011-12-31;15394200
2010-12-31;15592300
