Deciles;Sexo;Periodo;Total
Decil 4;Mujeres;2013;1.315,8
Decil 4;Mujeres;2012;1.320,7
Decil 4;Mujeres;2011;1.307,1
Decil 4;Mujeres;2010;1.313,8
Decil 5;Hombres;2024;""
Decil 5;Hombres;2023;1.833,9
Decil 5;Hombres;2022;1.711,9
Decil 5;Hombres;2021;1.654,1
Decil 5;Hombres;2020;1.608,4
Decil 5;Hombres;2019;1.597,8
Decil 5;Hombres;2018;1.546,3
Decil 5;Hombres;2017;1.499,0
Decil 5;Hombres;2016;1.497,8
Decil 5;Hombres;2015;1.497,0
Decil 5;Hombres;2014;1.503,6
Decil 5;Hombres;2013;1.502,9
Decil 5;Hombres;2012;1.493,8
Decil 5;Hombres;2011;1.485,1
Decil 5;Hombres;2010;1.476,7
Decil 5;Mujeres;2024;""
Decil 5;Mujeres;2023;1.834,0
Decil 5;Mujeres;2022;1.703,0
Decil 5;Mujeres;2021;1.650,4
Decil 5;Mujeres;2020;1.604,7
Decil 5;Mujeres;2019;1.591,4
Decil 5;Mujeres;2018;1.547,3
Decil 5;Mujeres;2017;1.495,8
Decil 5;Mujeres;2016;1.498,8
Decil 5;Mujeres;2015;1.498,6
Decil 5;Mujeres;2014;1.502,0
Decil 5;Mujeres;2013;1.503,2
Decil 5;Mujeres;2012;1.491,2
Decil 5;Mujeres;2011;1.484,5
Decil 5;Mujeres;2010;1.481,7
Decil 6;Hombres;2024;""
Decil 6;Hombres;2023;2.058,5
Decil 6;Hombres;2022;1.911,5
Decil 6;Hombres;2021;1.863,4
Decil 6;Hombres;2020;1.816,3
Decil 6;Hombres;2019;1.792,9
Decil 6;Hombres;2018;1.752,3
Decil 6;Hombres;2017;1.698,5
Decil 6;Hombres;2016;1.704,4
Decil 6;Hombres;2015;1.705,8
Decil 6;Hombres;2014;1.716,0
Decil 6;Hombres;2013;1.702,3
Decil 6;Hombres;2012;1.686,2
Decil 6;Hombres;2011;1.679,7
Decil 6;Hombres;2010;1.667,3
Decil 6;Mujeres;2024;""
