fecha,indicador,indicador_codigo,valor,unidad,geografia,fuente
2010-01-27,IBEX 35,IBEX35,11042.1895,Puntos,España,Yahoo Finance
2010-01-27,Tipo Cambio EUR/USD,EURUSD,1.4031,USD/EUR,Global,Yahoo Finance
2010-01-27,Precio Oro EUR,XAU_EUR,772.8628,EUR/oz,Global,Yahoo Finance
2010-01-27,Precio Oro USD,XAU_USD,1084.4,USD/oz,Global,Yahoo Finance
2010-01-28,Tipo Cambio EUR/USD,EURUSD,1.3968,USD/EUR,Global,Yahoo Finance
2010-01-28,Precio Oro EUR,XAU_EUR,775.7708,EUR/oz,Global,Yahoo Finance
2010-01-28,Precio Oro USD,XAU_USD,1083.6,USD/oz,Global,Yahoo Finance
2010-01-28,IBEX 35,IBEX35,10829.2891,Puntos,España,Yahoo Finance
2010-01-29,IBEX 35,IBEX35,10947.6895,Puntos,España,Yahoo Finance
2010-01-29,Tipo Cambio EUR/USD,EURUSD,1.3867,USD/EUR,Global,Yahoo Finance
2010-01-29,Precio Oro EUR,XAU_EUR,780.9946,EUR/oz,Global,Yahoo Finance
2010-01-29,Precio Oro USD,XAU_USD,1083.0,USD/oz,Global,Yahoo Finance
2010-02-01,Tipo Cambio EUR/USD,EURUSD,1.3927,USD/EUR,Global,Yahoo Finance
2010-02-01,Precio Oro EUR,XAU_EUR,792.9206,EUR/oz,Global,Yahoo Finance
2010-02-01,Precio Oro USD,XAU_USD,1104.3001,USD/oz,Global,Yahoo Finance
2010-02-01,IBEX 35,IBEX35,10995.1895,Puntos,España,Yahoo Finance
2010-02-02,IBEX 35,IBEX35,11140.8887,Puntos,España,Yahoo Finance
2010-02-02,Tipo Cambio EUR/USD,EURUSD,1.3976,USD/EUR,Global,Yahoo Finance
2010-02-02,Precio Oro EUR,XAU_EUR,799.4997,EUR/oz,Global,Yahoo Finance
2010-02-02,Precio Oro USD,XAU_USD,1117.4,USD/oz,Global,Yahoo Finance
2010-02-03,Precio Oro USD,XAU_USD,1111.4,USD/oz,Global,Yahoo Finance
2010-02-03,Tipo Cambio EUR/USD,EURUSD,1.3901,USD/EUR,Global,Yahoo Finance
2010-02-03,Precio Oro EUR,XAU_EUR,799.5078,EUR/oz,Global,Yahoo Finance
2010-02-03,IBEX 35,IBEX35,10888.3897,Puntos,España,Yahoo Finance
2010-02-04,IBEX 35,IBEX35,10241.6895,Puntos,España,Yahoo Finance
2010-02-04,Tipo Cambio EUR/USD,EURUSD,1.3745,USD/EUR,Global,Yahoo Finance
2010-02-04,Precio Oro EUR,XAU_EUR,772.9386,EUR/oz,Global,Yahoo Finance
2010-02-04,Precio Oro USD,XAU_USD,1062.4,USD/oz,Global,Yahoo Finance
2010-02-05,Tipo Cambio EUR/USD,EURUSD,1.368,USD/EUR,Global,Yahoo Finance
2010-02-05,Precio Oro EUR,XAU_EUR,769.1476,EUR/oz,Global,Yahoo Finance
2010-02-05,Precio Oro USD,XAU_USD,1052.2,USD/oz,Global,Yahoo Finance
2010-02-05,IBEX 35,IBEX35,10103.29,Puntos,España,Yahoo Finance
2010-02-08,IBEX 35,IBEX35,10206.2891,Puntos,España,Yahoo Finance
2010-02-08,Tipo Cambio EUR/USD,EURUSD,1.3655,USD/EUR,Global,Yahoo Finance
2010-02-08,Precio Oro EUR,XAU_EUR,780.4654,EUR/oz,Global,Yahoo Finance
2010-02-08,Precio Oro USD,XAU_USD,1065.7,USD/oz,Global,Yahoo Finance
2010-02-09,Tipo Cambio EUR/USD,EURUSD,1.3782,USD/EUR,Global,Yahoo Finance
2010-02-09,Precio Oro EUR,XAU_EUR,781.2319,EUR/oz,Global,Yahoo Finance
2010-02-09,Precio Oro USD,XAU_USD,1076.7,USD/oz,Global,Yahoo Finance
2010-02-09,IBEX 35,IBEX35,10275.3897,Puntos,España,Yahoo Finance
2010-02-10,IBEX 35,IBEX35,10454.9893,Puntos,España,Yahoo Finance
2010-02-10,Tipo Cambio EUR/USD,EURUSD,1.3753,USD/EUR,Global,Yahoo Finance
2010-02-10,Precio Oro EUR,XAU_EUR,782.2142,EUR/oz,Global,Yahoo Finance
2010-02-10,Precio Oro USD,XAU_USD,1075.8001,USD/oz,Global,Yahoo Finance
2010-02-11,Tipo Cambio EUR/USD,EURUSD,1.3682,USD/EUR,Global,Yahoo Finance
2010-02-11,Precio Oro EUR,XAU_EUR,799.7507,EUR/oz,Global,Yahoo Finance
2010-02-11,Precio Oro USD,XAU_USD,1094.2,USD/oz,Global,Yahoo Finance
2010-02-11,IBEX 35,IBEX35,10281.6895,Puntos,España,Yahoo Finance
2010-02-12,IBEX 35,IBEX35,10224.8897,Puntos,España,Yahoo Finance
2010-02-12,Tipo Cambio EUR/USD,EURUSD,1.3635,USD/EUR,Global,Yahoo Finance
2010-02-12,Precio Oro EUR,XAU_EUR,799.0502,EUR/oz,Global,Yahoo Finance
2010-02-12,Precio Oro USD,XAU_USD,1089.5,USD/oz,Global,Yahoo Finance
2010-02-15,Tipo Cambio EUR/USD,EURUSD,1.3603,USD/EUR,Global,Yahoo Finance
2010-02-15,IBEX 35,IBEX35,10293.5889,Puntos,España,Yahoo Finance
