Fecha;Indice;Variacion
2010-12-31;96.148;3.0
2011-12-31;98.434;2.4
2012-12-31;101.257;2.9
2013-12-31;101.512;0.3
2014-12-31;100.455;-1.0
2015-12-31;100.472;0.0
2016-12-31;102.049;1.6
2017-12-31;103.184;1.1
2018-12-31;104.405;1.2
2019-12-31;105.228;0.8
2020-12-31;104.668;-0.5
2021-12-31;111.524;6.5
